Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	55.54	0.0	[230, 138, 575, 447]	True
beta	Levene	14.02	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	324.53	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	18.43	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	25.0	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	1.41	0.238	[230, 138, 575, 447]	False
gamma	Barlett	148.49	0.0	[230, 138, 575, 447]	True
gamma	Levene	14.3	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	47.88	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	2.32	0.074	[230, 138, 575, 447]	False
ibi	Barlett	12.06	0.007	[230, 138, 575, 447]	True
ibi	Levene	2.68	0.045	[230, 138, 575, 447]	True
posterior_alpha	Barlett	498.55	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	26.19	0.0	[230, 138, 575, 447]	True
