State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.54	278	0.0	True
0	frontal_alpha	0.8	278	0.0	True
0	frontal_theta	0.86	278	0.0	True
0	gamma	0.49	278	0.0	True
0	posterior_alpha	0.77	278	0.0	True
1	beta	0.36	358	0.0	True
1	frontal_alpha	0.76	358	0.0	True
1	frontal_theta	0.95	358	0.0	True
1	gamma	0.39	358	0.0	True
1	posterior_alpha	0.68	358	0.0	True
2	beta	0.85	117	0.0	True
2	frontal_alpha	0.75	117	0.0	True
2	frontal_theta	0.88	117	0.0	True
2	gamma	0.82	117	0.0	True
2	posterior_alpha	0.72	117	0.0	True
3	beta	0.43	637	0.0	True
3	frontal_alpha	0.65	637	0.0	True
3	frontal_theta	0.92	637	0.0	True
3	gamma	0.43	637	0.0	True
3	posterior_alpha	0.64	637	0.0	True
