Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	62.77	0.0	[278, 358, 117, 637]	True
beta	Levene	3.35	0.018	[278, 358, 117, 637]	True
frontal_alpha	Barlett	57.32	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	10.14	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	22.45	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	1.7	0.165	[278, 358, 117, 637]	False
gamma	Barlett	72.78	0.0	[278, 358, 117, 637]	True
gamma	Levene	2.17	0.09	[278, 358, 117, 637]	False
posterior_alpha	Barlett	34.09	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	6.6	0.0	[278, 358, 117, 637]	True
