State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.93	219	0.0	True
0	beta	0.93	219	0.0	True
0	frontal_alpha	0.52	219	0.0	True
0	frontal_theta	0.86	219	0.0	True
0	gamma	0.75	219	0.0	True
0	hf-hrv	0.94	219	0.0	True
0	ibi	0.99	219	0.461	False
0	posterior_alpha	0.47	219	0.0	True
0	valence	0.96	219	0.0	True
1	arousal	0.97	426	0.0	True
1	beta	0.92	426	0.0	True
1	frontal_alpha	0.39	426	0.0	True
1	frontal_theta	0.32	426	0.0	True
1	gamma	0.88	426	0.0	True
1	hf-hrv	0.82	426	0.0	True
1	ibi	0.99	426	0.001	True
1	posterior_alpha	0.32	426	0.0	True
1	valence	0.65	426	0.0	True
2	arousal	0.94	169	0.0	True
2	beta	0.91	169	0.0	True
2	frontal_alpha	0.51	169	0.0	True
2	frontal_theta	0.88	169	0.0	True
2	gamma	0.83	169	0.0	True
2	hf-hrv	0.89	169	0.0	True
2	ibi	0.97	169	0.001	True
2	posterior_alpha	0.38	169	0.0	True
2	valence	0.85	169	0.0	True
3	arousal	0.95	576	0.0	True
3	beta	0.19	576	0.0	True
3	frontal_alpha	0.5	576	0.0	True
3	frontal_theta	0.65	576	0.0	True
3	gamma	0.25	576	0.0	True
3	hf-hrv	0.97	576	0.0	True
3	ibi	1.0	576	0.12	False
3	posterior_alpha	0.48	576	0.0	True
3	valence	0.96	576	0.0	True
