State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.38	230	0.0	True
0	frontal_alpha	0.82	230	0.0	True
0	frontal_theta	0.47	230	0.0	True
0	gamma	0.2	230	0.0	True
0	hf-hrv	0.94	230	0.0	True
0	ibi	0.98	230	0.004	True
0	posterior_alpha	0.84	230	0.0	True
1	beta	0.81	138	0.0	True
1	frontal_alpha	0.8	138	0.0	True
1	frontal_theta	0.91	138	0.0	True
1	gamma	0.61	138	0.0	True
1	hf-hrv	0.92	138	0.0	True
1	ibi	0.96	138	0.001	True
1	posterior_alpha	0.84	138	0.0	True
2	beta	0.26	575	0.0	True
2	frontal_alpha	0.77	575	0.0	True
2	frontal_theta	0.87	575	0.0	True
2	gamma	0.21	575	0.0	True
2	hf-hrv	0.93	575	0.0	True
2	ibi	0.98	575	0.0	True
2	posterior_alpha	0.71	575	0.0	True
3	beta	0.55	447	0.0	True
3	frontal_alpha	0.84	447	0.0	True
3	frontal_theta	0.85	447	0.0	True
3	gamma	0.26	447	0.0	True
3	hf-hrv	0.89	447	0.0	True
3	ibi	0.95	447	0.0	True
3	posterior_alpha	0.79	447	0.0	True
