Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	420.92	0.0	[230, 138, 575, 447]	True
beta	Levene	1.78	0.149	[230, 138, 575, 447]	False
frontal_alpha	Barlett	63.23	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	6.64	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	350.62	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	5.85	0.001	[230, 138, 575, 447]	True
gamma	Barlett	709.9	0.0	[230, 138, 575, 447]	True
gamma	Levene	2.95	0.032	[230, 138, 575, 447]	True
hf-hrv	Barlett	2.07	0.557	[230, 138, 575, 447]	False
hf-hrv	Levene	0.97	0.404	[230, 138, 575, 447]	False
ibi	Barlett	1.17	0.759	[230, 138, 575, 447]	False
ibi	Levene	0.56	0.64	[230, 138, 575, 447]	False
posterior_alpha	Barlett	39.05	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	4.94	0.002	[230, 138, 575, 447]	True
