Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	255.16	0.0	[278, 358, 117, 637]	True
beta	Levene	2.67	0.046	[278, 358, 117, 637]	True
frontal_alpha	Barlett	28.78	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	1.57	0.195	[278, 358, 117, 637]	False
frontal_theta	Barlett	15.98	0.001	[278, 358, 117, 637]	True
frontal_theta	Levene	1.97	0.116	[278, 358, 117, 637]	False
gamma	Barlett	371.44	0.0	[278, 358, 117, 637]	True
gamma	Levene	2.01	0.11	[278, 358, 117, 637]	False
posterior_alpha	Barlett	79.88	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	6.09	0.0	[278, 358, 117, 637]	True
