timestamp	ibi	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	beta	gamma	state
0	-0.11092941305045244	0.05983805732546772	-0.7487477323385489	-0.7776184230398061	-0.6569053928325751	0.9570017573685068	2.883182695430543	0
1	-0.11092941305045244	0.06852433173002852	-0.7622430865941558	-0.855148745148511	-0.6978701137946954	0.526425758809052	1.8480362243416408	3
2	0.8641544127076056	0.08622170254828032	-0.8898994494960513	-1.003053530982534	-0.7572127641658346	0.38688928550692586	1.2474762486356696	3
3	1.2942145795224067	0.10176019518123566	-0.9816132723947023	-0.9722222081278988	-0.5980920994100833	1.063027583033461	1.3796802742764853	3
4	1.489741578934828	0.11061343014206776	-0.7636410970572036	-0.687319238760665	-0.3484258936359429	0.6233511079106493	1.5244301229179624	3
5	0.9429879256497644	0.11109885282901087	-0.4572106540867443	-0.5335723069452216	-0.30818303634270894	1.206595490969791	3.9766340749676146	0
6	0.39578006851289393	0.10651146300732864	-0.10241550598426435	-0.3909291220845257	-0.2145086585151958	2.410279497627161	4.44602108622689	0
7	0.2780829751090107	0.10136301963918876	0.15461524388607864	0.15282739621949132	-0.13387930440450554	0.5183935760584233	1.6572216566838864	0
8	-0.307637426356406	0.09255639680925602	-0.18776877542116735	0.013963681425489814	-0.3297963051733948	-1.1251387946213713	0.2685507961242939	1
9	-0.23041312548361192	0.07442389370237207	-0.33987892109392026	-0.4689521429983738	0.3281841776047806	0.23603416457707305	0.5725745051076436	1
10	0.31602975674494893	0.04628168639192448	-0.3525559168635917	-0.4382503359839898	0.241618837239977	0.809520141064911	0.6912123468777657	1
11	0.08294643163937271	0.010925451646811357	-0.694074556791026	-0.6743389226681704	-0.8138367602046698	-0.13104347472764977	0.30628033410719246	1
12	0.31650786606264353	-0.02547666503272499	-0.8279972328980605	-0.9100241882623291	-0.956308144119795	-0.7371531865772266	0.5723870337177511	1
13	0.3560324084469719	-0.05193623674531554	-0.7151374413139632	-0.7790129024145868	-0.7474114437587417	-0.8458988713983837	0.5910625711175487	1
14	0.7460345667728899	-0.06363635183271507	-0.7266930362421734	-0.6826371894776311	-0.5731193211182702	-0.8195373895932887	0.2064481119297906	1
15	0.5521570445065132	-0.06725982463931371	-0.6883966505737078	-0.497366871357717	-0.25961050152026055	-0.723414851857012	0.17368512258129223	1
16	-0.14994564973912827	-0.06535011636208445	-0.47993892860884757	-0.3504919274372647	-0.10979740990580504	0.5664712314572896	0.2923952668159518	1
17	0.23757034013477912	-0.05277070972696536	-0.19617913063328812	-0.28735307231422536	0.06058260304464545	0.6620793274595304	0.43861477696892087	1
18	0.39468041708219614	-0.03352307282897046	0.04386730390911957	-0.12931400464000797	0.06020018131566674	-0.4021030817301607	0.4346459644798693	1
19	0.3173206519027241	-0.019721772657589294	0.1667126556355889	-0.019262946346114664	-0.20579166009866554	-0.27416863358106786	0.293346963860045	1
20	-0.46182306797726247	-0.018659211444596348	0.21556893545992273	-0.18277848387535053	-0.1663520646382168	1.3749214329635324	0.20320204786420087	1
21	-0.9710044585919076	-0.033020371806793535	-0.00038611116610295476	-0.46223702077226736	-0.23679833069308187	1.8151888135802805	0.4689277796206631	1
22	-0.4670264910514971	-0.061827867191778324	0.07823205547503832	-0.19774847737918338	-0.2960221661846792	0.5542897851392765	1.1719426774910413	1
23	-0.5816079054017401	-0.09946698380208333	-0.1007789874061991	-0.1865651774511124	-0.3369743706285076	-0.19802138006445172	1.81808018714023	1
24	-0.07629123177178128	-0.12771639263957763	-0.6634133436874582	-0.6254373573962696	-0.6085354373154749	-0.513716149561825	1.1783093295241072	1
25	-0.6185506574705225	-0.1394668759573382	0.21768160011659182	0.5174949648129604	-0.738387960525719	-0.32340738269405916	0.1763262838304082	1
26	-0.6212280696496084	-0.14207352379980748	0.5289452815959215	0.7948936562573445	-0.40652795448741996	-0.5780061864867448	-0.11361306636191486	2
27	0.0009649430555246225	-0.1347171903832937	0.19072291592651294	0.08356298163746181	-0.17490355209040273	-0.2471965233052581	-0.20944640847724993	1
28	0.5874662564065036	-0.12147580173899644	0.2277462020082487	0.025793001565210093	-0.15970470815650178	-0.16635154375030747	-0.24920333014503984	1
29	1.0960181364195258	-0.1079305551808592	-0.2694452530039417	-0.39484075818008196	-0.20881833867330704	-0.7673390010380106	-0.3941169507944806	1
30	0.9823291927956461	-0.09157088322382015	-0.6584871187189328	-0.6939901469461556	-0.300089199086305	-0.8382452419838679	-0.4024302238229129	1
31	0.5153736622102942	-0.06443406122060821	-0.6624730484920831	-0.7577694346181294	-0.4874772940286855	-0.6125141073425412	-0.2965594037994011	1
32	0.8621299939624952	-0.024206948646930366	-0.5363167676125272	-0.5784754681825698	-0.6491966629134396	-0.4163792638134532	-0.45072724476814335	1
33	0.3594429215798578	0.021598089834474362	-0.34463300251033174	-0.42221255778405825	-0.5056159451669723	-0.5822953933513827	-0.6898106636193413	1
34	-0.07101609229989236	0.0639894736260754	-0.49066258261821755	-0.6108230326392999	-0.41053721384363034	-0.9557396372734915	-0.643747894785198	1
35	-0.9668449075279714	0.09641311549982275	-0.7481168876092741	-0.8169060752135652	-0.44446958863380237	-0.8525919856027928	-0.4848197384490919	1
36	-0.6625534904639184	0.11594554660505442	-0.5424202556731608	-0.5198691552191727	-0.21714533871866387	-0.5947346011419096	-0.45620582426632483	1
37	0.038210497692176826	0.12263688449068273	-0.6968342172202698	-0.5537354330008685	-0.15621940253076194	-1.047401374255492	-0.347974256266966	1
38	0.392568767595714	0.12196960014530217	-0.3209465304264606	-0.4601186391246115	0.7586840404197304	-0.5784286409418145	0.040504365313609535	0
39	0.12368218429519137	0.12434392327592635	0.16666197692034554	0.12617341711428295	1.2527671903929307	-0.2807625146154108	-0.22382329180675364	0
40	0.9360154981000578	0.1377200909738124	0.17318432203788386	0.3983339386388957	0.04686124257323404	-0.40052675251626046	-0.7335350294426831	0
41	1.058868203646409	0.1663941437675968	0.38602599908851815	0.40748443270236995	-0.42187658901697295	-0.02954922297282222	-0.641587196097131	0
42	1.2148945661403874	0.2077616000207383	1.0950971008065702	1.0647641862971966	0.024831214428967168	-0.37341716435183275	-0.5120956296594034	0
43	0.40225048127901825	0.2534495212700632	0.7140470003032608	0.7239300489587562	-0.0998371860434122	-0.31123369116146515	-0.43402844933206625	0
44	-0.03104531455238115	0.29790319490670736	0.18419466612656588	-0.2529134865195532	-0.490656598820043	0.5572306348206413	-0.3602899923743539	0
45	0.5463400478079017	0.3386975393185665	0.12394107499045827	-0.3549690576514313	1.096532997837115	-0.0002625388360958984	-0.5260564735931	0
46	0.6678062363329379	0.37677015133955677	-0.6596911776519336	-0.6728201029736028	1.3815442714192692	-1.206495333767602	-0.4607746244888694	0
47	0.3203327406041938	0.41920241425027815	-0.9856361297946904	-0.8528957104889295	-0.2607085742812092	-1.0949389318685654	0.1560665392951939	3
48	-0.7283987895755949	0.4741183027557211	-0.7975681653830833	-0.7494556072366793	-0.640175214886866	-0.7110577301982127	0.33047776646354066	3
49	-0.15783445348107725	0.5378615186910022	-0.6508341132221953	-0.7682608093677977	-0.6846338832810023	-0.28139167784503905	-0.0268981472067335	3
50	-0.11339335361312922	0.5992311720550159	-0.5448626023590895	-0.685967003275331	-0.7521771605673863	-0.2245526834274797	-0.42356518953519956	3
51	0.23525947843259107	0.6515152422827929	-0.49877008276877355	-0.6079212288680915	-0.6823816824168095	-0.4139198145742602	-0.4524236950433459	3
52	-0.07065751031162086	0.692274342880672	-0.6354394578799191	-0.6377837293709535	-0.48188287505932825	-0.8428804210903194	-0.4565542766597253	3
53	0.9704481762509527	0.7213413749825557	-0.672583126353011	-0.7253843518423647	-0.5850481795042655	-0.5969244164275287	-0.6297091386570897	3
54	1.9871057009138011	0.7420355626426114	-0.5073943830383311	-0.4318245577064583	-0.6862083300123032	0.546938262902241	-0.6519805810944669	3
55	2.307397843143352	0.7566159614746295	-0.3819515422998325	-0.18607513861504077	-0.5764650775338653	0.01379567930957507	-0.6205171831278132	3
56	1.8469685047445261	0.7617071163258345	-0.6063838195661324	-0.5124747070516691	-0.5629048962792959	-0.9600839622083738	-0.46824815052291274	3
57	0.6436210345579574	0.7560619973840411	-0.8213589812720242	-0.7872098381438221	-0.6088696384031461	-1.203499272201266	-0.3701827711082181	3
58	1.3639485010846593	0.7488803090963313	-0.8822585611147863	-0.8760496845679069	-0.6472990112828981	-0.7351868413709258	0.09204457591555998	3
59	1.5657387325588725	0.7615642292072708	-0.029621023799587937	-0.07164896424275127	-0.678165920154815	0.15508884629624134	1.598658102534336	3
60	1.5680495942610606	0.8114005422969065	0.5859139349848019	0.17880280046604247	-0.5542663116798616	-0.23701824808682131	1.0901172993400547	0
61	0.6798784966047087	0.8912353138624614	0.36609080220026274	0.020990503759472652	-0.3531638400135703	-0.6977092459068666	-0.5632912498096044	0
62	-0.4893630034647293	0.9841918588710333	1.1799393022366949	1.0957956958874344	0.7426818548734311	0.2780510503098366	-0.6356256236133087	0
63	-0.23374395373021498	1.0807679707533457	0.6771391343145785	0.6624516189256302	1.1060499127076693	0.07559024246485356	-0.7033707869320074	0
64	-0.3846545465248657	1.1767879632187774	-0.7322847735962796	-0.6666465229559506	0.06292629991435271	-0.9506133397107376	-0.9375850549325898	3
65	-0.07798851984959677	1.2782342973015863	-0.40851950881795446	-0.31903949053295066	0.2420756958146772	-0.6159982192366755	-0.971062568780006	3
66	-0.45967157604763786	1.3927731340400085	0.3871748106979883	0.08005911429025027	0.4013665872998538	0.10579635194612656	-0.8005017032625789	3
67	0.15224208632707534	1.5038916123561972	0.028703552376187012	-0.4568751896981756	-0.3493559487270998	-0.24992060861523122	-0.8119782162212067	3
68	1.2017864023469533	1.5876850530783997	-0.04509399188996871	-0.1592969687070944	-0.7361349103361132	-0.4959039798820747	-0.701278594257102	3
69	2.33422061465428	1.6337405501721702	0.001620092097738747	-0.007764222762664402	-0.7624579864722604	-0.22481533185019775	-0.5703766962430081	3
70	1.7332237817002536	1.6353183226753378	-0.4844105431658547	-0.434513548491208	-0.6597523147038797	-0.616485045820593	-0.696718152563353	3
71	0.4912601768329681	1.5894176260869763	-0.5776201300438442	-0.5885749314115992	-0.46733938726651897	-1.0780343511241348	-0.7562253639828806	3
72	1.0898664631985262	1.4989474889514096	-0.7791719645558639	-0.7777348641044327	-0.1403130492077419	-1.3978573034669242	-0.7290828154883325	3
73	1.4456032816347497	1.3721359666066633	-0.5449702973757597	-0.22751341310028192	4.565540887378604	-0.7293365980589334	-0.6839874933702588	0
74	1.1041539633089517	1.2215891816257665	-0.3105234857597439	0.03345676685796131	4.270030145689092	-0.3935882112657684	-0.8151317437578053	0
75	0.2903225736419799	1.062875967193643	-0.6335630755361344	-0.4287859809081453	-0.6737851256033806	-1.3789781003129549	-0.8734748321846896	3
76	-0.1455231385504581	0.910666539971054	-0.621445868018283	-0.29136049943219555	-0.40213172839698086	-1.3382315021413886	-0.8380611628224505	3
77	0.19430060809518318	0.7792713177708106	0.018765239733624837	0.1695668803723147	-0.0033956102676093664	-0.4427879372376517	-0.8217367837569788	3
78	0.2767123950649549	0.6757491586842724	-0.0006218359898398989	0.019588118070061045	0.04903865572504274	-0.5100084563827437	-0.650876666237378	3
79	-0.22220558219652745	0.5935800833742021	-0.24207417398546996	-0.18553321578244464	-0.275077667165826	0.06395100816427583	-0.6019353842141515	3
80	-0.49953876344298076	0.5286047542638825	0.7444790483679649	0.5672134690293921	-0.4674141476817213	0.8200153943146172	-0.5983500855639283	0
81	0.03444937105964583	0.49877673495840585	0.6588099752942013	0.42523008189841993	-0.3858739659721103	-0.04034266128339496	-0.6582516999408443	0
82	0.312515653259897	0.5100360712344452	-0.6295123383034914	-0.7201973347016662	-0.678013357589471	-0.8082579331039169	-0.676600436741095	3
83	0.9705278611372333	0.5461380236109322	-0.8118500663032004	-0.8414884599670425	-0.860841675187784	-0.517553413015849	-0.06302080422389145	3
84	0.2129787454397649	0.6095764592498105	-0.8368879496657265	-0.7791252315862184	-0.5984167569141097	-0.7415554605030732	0.25230424010655994	3
85	-0.14607296426580701	0.7045485620252244	-1.0791069004952696	-0.9136056152231907	-0.440293574242969	-1.7937864227501341	-0.1860033516167207	3
86	-0.036846374273735646	0.81860822265189	-0.9404127342030424	-0.8342574382149116	-0.6390604474702227	-1.4931067197896761	-0.4580116388331746	3
87	0.6565467619012434	0.9427917230425663	-0.601258490969399	-0.5110002212131874	-0.830501322751773	-0.6027858762253899	-0.5223468022991502	3
88	0.9376888807119879	1.0754913852648316	-0.45808459197420315	-0.614370859132909	-0.875378472419428	-0.03162278282985142	-0.6220822700819179	3
89	-0.1324627856887798	1.2082763859651815	-0.5382150927415177	-0.848524002868926	-0.43208331884383894	0.020859266762505723	-0.7951706296848041	3
90	-0.22886723868973352	1.329051595052558	-0.5233914524678327	-0.49469849188119885	-0.4081954083440615	-0.29829832247499166	-0.37629876322956896	3
91	0.2686164106186672	1.4300917298327822	-0.6114907941656089	-0.4873153870764768	-0.7005230589440363	0.13526046941604006	1.2635642696349192	3
92	0.9302144383787077	1.5033174266220677	-0.8039058363598486	-0.7554049183825614	-0.40228931194277634	0.08653224455484804	1.9165604458344419	3
93	1.2494308346434442	1.540315389160714	-0.7286346090134943	-0.7571628968723902	-0.48504140070621776	-0.05656093758327889	1.6871807080284227	3
94	0.21975992926238755	1.5370945592345588	-0.22173228147287977	-0.36245140651018526	-0.30480174807981375	0.8241892519354606	2.0036809800434554	0
95	1.2350716181353707	1.4946306296159684	0.7475999134508796	0.3923056013197489	0.6070223214402108	1.0775046928010077	1.3391685381812177	0
96	1.6386680180610524	1.4181348771302489	0.9021649548898553	0.9094423331792074	4.01491911776858	1.2075897232112713	0.813118123403168	0
97	1.4545917368073986	1.3167592510011918	-0.026560238684180948	0.2089275489222227	4.154813959060787	0.8802031867856038	0.7257892250824277	0
98	0.41609174602626536	1.204265821830531	-0.6267550969086457	-0.6686157927581059	0.48668676376059733	-0.1290164190695619	0.2935844237866188	3
99	0.012088953180536842	1.099337394562419	-0.5461719525043093	-0.4955266663754252	-0.4493304177620184	-0.21111779550963172	-0.14791304836195304	3
100	0.27241737969433416	1.0100900116807103	-0.23769425989674517	-0.14599627190639236	-0.6554320965298177	-0.1638801236986544	-0.33309159617819045	3
101	0.814103074211841	0.9317595794390776	-0.3044673954928852	-0.16105978318239322	-0.5075864645386873	-0.4154413363990817	-0.4227178207852153	3
102	0.404075265174881	0.86272652398919	-0.6897789945841949	-0.5825321591843226	-0.4998966263531262	-0.4075848359336764	-0.5763407612435116	3
