timestamp	state
0	3
1	3
2	3
3	3
4	3
5	3
6	3
7	3
8	3
9	3
10	3
11	2
12	2
13	2
14	2
15	2
16	3
17	3
18	3
19	3
20	3
21	3
22	3
23	3
24	2
25	0
26	0
27	0
28	0
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	3
60	3
61	3
62	0
63	0
64	2
65	3
66	3
67	3
68	3
69	3
70	2
71	2
72	2
73	1
74	1
75	2
76	2
77	3
78	3
79	3
80	0
81	0
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	3
92	3
93	3
94	3
95	3
96	1
97	1
98	3
99	2
100	2
101	2
102	2
103	0
104	0
105	0
106	2
107	2
108	2
109	2
110	3
111	3
112	3
113	2
114	0
115	0
116	2
117	2
118	2
119	2
120	0
121	0
122	2
123	2
124	3
125	3
126	3
127	3
128	3
129	2
130	2
131	2
132	2
133	2
134	0
135	0
136	2
137	2
138	2
139	2
140	2
141	2
142	2
143	2
144	2
145	2
146	2
147	2
148	2
149	3
150	3
151	2
152	0
153	0
154	0
155	0
156	0
157	0
158	2
159	2
160	0
161	0
162	2
163	2
164	2
165	2
166	3
167	3
168	3
169	3
170	3
171	3
172	3
173	3
174	3
175	1
176	1
177	3
178	3
179	3
180	3
181	3
182	3
183	3
184	3
185	3
186	3
187	3
188	3
189	3
190	1
191	1
192	1
193	3
194	3
195	3
196	3
197	3
198	3
199	3
200	3
201	3
202	3
203	3
204	3
205	3
206	3
207	3
208	3
209	1
210	1
211	1
212	3
213	3
214	3
215	3
216	3
217	3
218	3
219	3
220	3
221	3
222	3
223	3
224	3
225	3
226	3
227	3
228	3
229	3
230	3
231	3
232	2
233	2
234	2
235	3
236	3
237	3
238	2
239	2
240	3
241	3
242	3
243	3
244	3
245	3
246	3
247	3
248	2
249	2
250	2
251	2
252	2
253	2
254	3
255	3
256	3
257	3
258	3
259	3
260	3
261	3
262	3
263	3
264	0
265	0
266	2
267	2
268	2
269	2
270	2
271	2
272	2
273	2
274	2
275	3
276	3
277	3
278	3
279	3
280	3
281	3
282	3
283	3
284	3
285	3
286	3
287	3
288	3
289	3
290	1
291	1
292	1
293	3
294	2
295	2
296	3
297	3
298	3
299	3
300	3
301	3
302	3
303	3
304	3
305	3
306	3
307	2
308	2
309	2
310	2
311	2
312	2
313	3
314	3
315	3
316	3
317	2
318	2
319	2
320	3
321	3
322	3
323	3
324	2
325	2
326	2
327	2
328	2
329	2
330	2
331	2
332	2
333	2
334	2
335	2
336	3
337	3
338	2
339	3
340	3
341	3
342	3
343	3
344	1
345	0
346	2
347	2
348	2
349	3
350	3
351	3
352	3
353	3
354	3
355	3
356	3
357	3
358	3
359	2
360	2
361	2
362	3
363	3
364	2
365	2
366	3
367	3
368	3
369	3
370	3
371	3
372	3
373	3
374	3
375	2
376	2
377	2
378	3
379	3
380	3
381	2
382	2
383	2
384	2
385	2
386	2
387	2
388	2
389	2
390	2
391	0
392	0
393	0
394	0
395	2
396	2
397	2
398	2
399	2
400	3
401	3
402	3
403	1
404	1
405	1
406	1
407	1
408	3
409	3
410	3
411	3
412	3
413	3
414	0
415	0
416	0
417	0
418	0
419	2
420	2
421	2
422	2
423	2
424	2
425	2
426	0
427	0
428	0
429	2
430	2
431	3
432	3
433	3
434	3
435	2
436	0
437	0
438	0
439	2
440	2
441	2
442	2
443	2
444	3
445	3
446	2
447	2
448	0
449	0
450	2
451	2
452	2
453	2
454	2
455	2
456	2
457	2
458	2
459	2
460	3
461	3
462	3
463	2
464	2
465	2
466	3
467	3
468	3
469	3
470	3
471	3
472	3
473	3
474	2
475	2
476	2
477	2
478	2
479	2
480	3
481	3
482	3
483	2
484	2
485	3
486	3
487	3
488	3
489	3
490	3
491	3
492	3
493	1
494	1
495	0
496	2
497	2
498	2
499	2
500	3
501	3
502	3
503	3
504	2
505	2
506	2
507	2
508	2
509	2
510	2
511	2
512	0
513	0
514	0
515	0
516	0
517	2
518	2
519	2
520	2
521	2
522	0
523	0
524	0
525	0
526	0
527	0
528	1
529	1
530	0
531	0
532	2
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	2
543	2
544	2
545	2
546	2
547	2
548	2
549	2
550	0
551	0
552	0
553	0
554	2
555	2
556	2
557	2
558	2
559	2
560	2
561	2
562	2
563	2
564	2
565	2
566	2
567	0
568	0
569	2
570	2
571	2
572	2
573	0
574	0
575	0
576	0
577	2
578	2
579	2
580	2
581	0
582	2
583	3
584	3
585	3
586	3
587	0
588	0
589	0
590	0
591	0
592	0
593	2
594	2
595	2
596	0
597	0
598	0
599	0
600	0
601	2
602	0
603	0
604	0
605	2
606	2
607	2
608	2
609	2
610	2
611	2
612	2
613	2
614	0
615	0
616	1
617	3
618	3
619	2
620	2
621	2
622	2
623	3
624	3
625	3
626	3
627	3
628	2
629	2
630	2
631	2
632	2
633	0
634	0
635	0
636	2
637	2
638	2
639	2
640	2
641	2
642	2
643	2
644	2
645	2
646	2
647	2
648	2
649	2
650	2
651	0
652	0
653	0
654	0
655	0
656	2
657	2
658	0
659	0
660	2
661	2
662	2
663	2
664	2
665	0
666	0
667	2
668	2
669	0
670	0
671	0
672	1
673	1
674	1
675	0
676	3
677	3
678	3
679	1
680	1
681	0
682	0
683	0
684	0
685	0
686	2
687	2
688	2
689	2
690	0
691	0
692	0
693	0
694	0
695	2
696	2
697	2
698	3
699	1
700	1
701	1
702	0
703	0
704	0
705	0
706	0
707	0
708	2
709	2
710	2
711	2
712	2
713	2
714	2
715	2
716	0
717	2
718	2
719	2
720	0
721	0
722	0
723	2
724	2
725	2
726	2
727	0
728	1
729	0
730	0
731	2
732	2
733	2
734	2
735	2
736	2
737	2
738	0
739	0
740	2
741	2
742	1
743	1
744	0
745	0
746	0
747	0
748	2
749	2
750	2
751	0
752	0
753	2
754	0
755	0
756	1
757	1
758	1
759	1
760	0
761	0
762	0
763	0
764	0
765	2
766	2
767	0
768	0
769	2
770	2
771	2
772	2
773	2
774	2
775	2
776	3
777	3
778	2
779	0
780	0
781	2
782	2
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	2
805	0
806	0
807	0
808	0
809	0
810	2
811	0
812	0
813	2
814	2
815	2
816	2
817	2
818	2
819	2
820	2
821	2
822	2
823	2
824	2
825	2
826	2
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	3
835	3
836	2
837	2
838	2
839	2
840	2
841	2
842	0
843	0
844	2
845	2
846	2
847	2
848	0
849	0
850	1
851	1
852	1
853	0
854	0
855	0
856	2
857	2
858	0
859	0
860	2
861	2
862	1
863	1
864	1
865	1
866	1
867	1
868	1
869	0
870	0
871	2
872	2
873	2
874	2
875	0
876	0
877	0
878	0
879	0
880	0
