Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	102.51	0.0	[463, 370, 264, 296]	True
arousal	Levene	28.28	0.0	[463, 370, 264, 296]	True
valence	Barlett	186.74	0.0	[463, 370, 264, 296]	True
valence	Levene	91.96	0.0	[463, 370, 264, 296]	True
