Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	820.7	0.0	[578, 387, 235, 190]	True
beta	Levene	28.38	0.0	[578, 387, 235, 190]	True
frontal_alpha	Barlett	869.07	0.0	[578, 387, 235, 190]	True
frontal_alpha	Levene	86.13	0.0	[578, 387, 235, 190]	True
frontal_theta	Barlett	170.03	0.0	[578, 387, 235, 190]	True
frontal_theta	Levene	42.65	0.0	[578, 387, 235, 190]	True
gamma	Barlett	1809.96	0.0	[578, 387, 235, 190]	True
gamma	Levene	41.1	0.0	[578, 387, 235, 190]	True
hf-hrv	Barlett	573.14	0.0	[578, 387, 235, 190]	True
hf-hrv	Levene	266.58	0.0	[578, 387, 235, 190]	True
ibi	Barlett	240.53	0.0	[578, 387, 235, 190]	True
ibi	Levene	117.89	0.0	[578, 387, 235, 190]	True
posterior_alpha	Barlett	1703.75	0.0	[578, 387, 235, 190]	True
posterior_alpha	Levene	109.14	0.0	[578, 387, 235, 190]	True
