"","Grid vs Baseline","","","","","Flubber vs Baseline","","","","","Proprioceptive vs Baseline","","","","","Grid vs Flubber","","","","","Grid vs Proprioceptive","","","","","Flubber vs Proprioceptive","","","",""
"1","t","SE","df","p.value","FDR.adjusted.p.value.5","t.1","SE.1","df.1","p.value.1","FDR.adjusted.p.value.4","t.2","SE.2","df.2","p.value.2","FDR.adjusted.p.value.3","t.3","SE.3","df.3","p.value.3","FDR.adjusted.p.value.2","t.4","SE.4","df.4","p.value.4","FDR.adjusted.p.value.1","t.5","SE.5","df.5","p.value.5","FDR.adjusted.p.value"
"t-test","1.3","0.16","61","0.2","0.3","2.73","0.21","61","0.01","0.02","0.07","0.22","61","0.94","0.94","-1.9","0.19","61","0.06","0.12","0.94","0.21","61","0.35","0.42","2.8","0.2","61","0.01","0.02"
"TOST Lower","4.4","0.16","61","0","","5.16","0.21","61","0","","2.31","0.22","61","0.01","","0.78","0.19","61","0.22","","3.38","0.21","61","0","","5.35","0.2","61","0",""
"TOST Upper","-1.8","0.16","61","0.04","","0.31","0.21","61","0.62","","-2.16","0.22","61","0.02","","-4.57","0.19","61","0","","-1.49","0.21","61","0.07","","0.25","0.2","61","0.6",""
