State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.85	219	0.0	True
0	beta	0.25	219	0.0	True
0	frontal_alpha	0.71	219	0.0	True
0	frontal_theta	0.75	219	0.0	True
0	gamma	0.26	219	0.0	True
0	hf-hrv	0.93	219	0.0	True
0	ibi	0.9	219	0.0	True
0	posterior_alpha	0.66	219	0.0	True
0	valence	0.88	219	0.0	True
1	arousal	0.81	426	0.0	True
1	beta	0.81	426	0.0	True
1	frontal_alpha	0.85	426	0.0	True
1	frontal_theta	0.86	426	0.0	True
1	gamma	0.61	426	0.0	True
1	hf-hrv	0.69	426	0.0	True
1	ibi	0.98	426	0.0	True
1	posterior_alpha	0.76	426	0.0	True
1	valence	0.77	426	0.0	True
2	arousal	0.83	169	0.0	True
2	beta	0.77	169	0.0	True
2	frontal_alpha	0.76	169	0.0	True
2	frontal_theta	0.9	169	0.0	True
2	gamma	0.73	169	0.0	True
2	hf-hrv	0.69	169	0.0	True
2	ibi	0.99	169	0.649	False
2	posterior_alpha	0.82	169	0.0	True
2	valence	0.92	169	0.0	True
3	arousal	0.88	576	0.0	True
3	beta	0.84	576	0.0	True
3	frontal_alpha	0.83	576	0.0	True
3	frontal_theta	0.9	576	0.0	True
3	gamma	0.62	576	0.0	True
3	hf-hrv	0.96	576	0.0	True
3	ibi	0.99	576	0.0	True
3	posterior_alpha	0.77	576	0.0	True
3	valence	0.9	576	0.0	True
