Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	10.59	0.014	[310, 342, 409, 331]	True
hf-hrv	Levene	2.45	0.062	[310, 342, 409, 331]	False
ibi	Barlett	12.03	0.007	[310, 342, 409, 331]	True
ibi	Levene	4.72	0.003	[310, 342, 409, 331]	True
