State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.86	219	0.0	True
0	beta	0.71	219	0.0	True
0	frontal_alpha	0.94	219	0.0	True
0	frontal_theta	0.97	219	0.001	True
0	gamma	0.62	219	0.0	True
0	hf-hrv	0.78	219	0.0	True
0	ibi	0.98	219	0.008	True
0	posterior_alpha	0.94	219	0.0	True
0	valence	0.96	219	0.0	True
1	arousal	0.95	426	0.0	True
1	beta	0.88	426	0.0	True
1	frontal_alpha	0.9	426	0.0	True
1	frontal_theta	0.95	426	0.0	True
1	gamma	0.73	426	0.0	True
1	hf-hrv	0.97	426	0.0	True
1	ibi	0.98	426	0.0	True
1	posterior_alpha	0.9	426	0.0	True
1	valence	0.52	426	0.0	True
2	arousal	0.89	169	0.0	True
2	beta	0.79	169	0.0	True
2	frontal_alpha	0.9	169	0.0	True
2	frontal_theta	0.99	169	0.084	False
2	gamma	0.67	169	0.0	True
2	hf-hrv	0.93	169	0.0	True
2	ibi	0.99	169	0.105	False
2	posterior_alpha	0.87	169	0.0	True
2	valence	0.74	169	0.0	True
3	arousal	0.93	576	0.0	True
3	beta	0.84	576	0.0	True
3	frontal_alpha	0.75	576	0.0	True
3	frontal_theta	0.98	576	0.0	True
3	gamma	0.59	576	0.0	True
3	hf-hrv	0.84	576	0.0	True
3	ibi	0.99	576	0.001	True
3	posterior_alpha	0.75	576	0.0	True
3	valence	0.97	576	0.0	True
