Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	426.36	0.0	[230, 138, 575, 447]	True
beta	Levene	52.9	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	308.86	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	28.34	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	9.98	0.019	[230, 138, 575, 447]	True
frontal_theta	Levene	1.99	0.113	[230, 138, 575, 447]	False
gamma	Barlett	492.98	0.0	[230, 138, 575, 447]	True
gamma	Levene	51.62	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	34.87	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	10.8	0.0	[230, 138, 575, 447]	True
ibi	Barlett	1.82	0.61	[230, 138, 575, 447]	False
ibi	Levene	0.46	0.712	[230, 138, 575, 447]	False
posterior_alpha	Barlett	149.96	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	3.32	0.019	[230, 138, 575, 447]	True
