State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.92	230	0.0	True
0	frontal_alpha	0.82	230	0.0	True
0	frontal_theta	0.85	230	0.0	True
0	gamma	0.91	230	0.0	True
0	hf-hrv	0.97	230	0.0	True
0	ibi	0.99	230	0.021	True
0	posterior_alpha	0.49	230	0.0	True
1	beta	0.88	138	0.0	True
1	frontal_alpha	0.92	138	0.0	True
1	frontal_theta	0.93	138	0.0	True
1	gamma	0.91	138	0.0	True
1	hf-hrv	0.96	138	0.0	True
1	ibi	0.98	138	0.088	False
1	posterior_alpha	0.85	138	0.0	True
2	beta	0.79	575	0.0	True
2	frontal_alpha	0.83	575	0.0	True
2	frontal_theta	0.93	575	0.0	True
2	gamma	0.79	575	0.0	True
2	hf-hrv	0.93	575	0.0	True
2	ibi	0.99	575	0.011	True
2	posterior_alpha	0.53	575	0.0	True
3	beta	0.82	447	0.0	True
3	frontal_alpha	0.76	447	0.0	True
3	frontal_theta	0.94	447	0.0	True
3	gamma	0.77	447	0.0	True
3	hf-hrv	0.95	447	0.0	True
3	ibi	0.99	447	0.012	True
3	posterior_alpha	0.58	447	0.0	True
