State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.63	219	0.0	True
0	beta	0.95	219	0.0	True
0	frontal_alpha	0.73	219	0.0	True
0	frontal_theta	0.94	219	0.0	True
0	gamma	0.97	219	0.0	True
0	hf-hrv	0.93	219	0.0	True
0	ibi	0.98	219	0.001	True
0	posterior_alpha	0.8	219	0.0	True
0	valence	0.93	219	0.0	True
1	arousal	0.96	426	0.0	True
1	beta	0.95	426	0.0	True
1	frontal_alpha	0.75	426	0.0	True
1	frontal_theta	0.9	426	0.0	True
1	gamma	0.95	426	0.0	True
1	hf-hrv	0.98	426	0.0	True
1	ibi	0.99	426	0.015	True
1	posterior_alpha	0.57	426	0.0	True
1	valence	0.57	426	0.0	True
2	arousal	0.82	169	0.0	True
2	beta	0.93	169	0.0	True
2	frontal_alpha	0.71	169	0.0	True
2	frontal_theta	0.92	169	0.0	True
2	gamma	0.81	169	0.0	True
2	hf-hrv	0.95	169	0.0	True
2	ibi	0.95	169	0.0	True
2	posterior_alpha	0.62	169	0.0	True
2	valence	0.88	169	0.0	True
3	arousal	0.61	576	0.0	True
3	beta	0.84	576	0.0	True
3	frontal_alpha	0.69	576	0.0	True
3	frontal_theta	0.93	576	0.0	True
3	gamma	0.97	576	0.0	True
3	hf-hrv	0.95	576	0.0	True
3	ibi	0.98	576	0.0	True
3	posterior_alpha	0.65	576	0.0	True
3	valence	0.92	576	0.0	True
