Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	45.53	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	1.87	0.133	[310, 342, 409, 331]	False
ibi	Barlett	19.65	0.0	[310, 342, 409, 331]	True
ibi	Levene	3.86	0.009	[310, 342, 409, 331]	True
