Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	224.23	0.0	[463, 370, 264, 296]	True
arousal	Levene	148.38	0.0	[463, 370, 264, 296]	True
valence	Barlett	478.61	0.0	[463, 370, 264, 296]	True
valence	Levene	178.88	0.0	[463, 370, 264, 296]	True
