Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	65.56	0.0	[278, 358, 117, 637]	True
beta	Levene	9.04	0.0	[278, 358, 117, 637]	True
frontal_alpha	Barlett	122.55	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	10.38	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	210.25	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	9.88	0.0	[278, 358, 117, 637]	True
gamma	Barlett	105.53	0.0	[278, 358, 117, 637]	True
gamma	Levene	5.65	0.001	[278, 358, 117, 637]	True
posterior_alpha	Barlett	159.3	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	10.29	0.0	[278, 358, 117, 637]	True
