State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.87	219	0.0	True
0	beta	0.78	219	0.0	True
0	frontal_alpha	0.96	219	0.0	True
0	frontal_theta	0.93	219	0.0	True
0	gamma	0.59	219	0.0	True
0	hf-hrv	0.93	219	0.0	True
0	ibi	1.0	219	0.841	False
0	posterior_alpha	0.97	219	0.0	True
0	valence	0.87	219	0.0	True
1	arousal	0.92	426	0.0	True
1	beta	0.91	426	0.0	True
1	frontal_alpha	0.87	426	0.0	True
1	frontal_theta	0.96	426	0.0	True
1	gamma	0.75	426	0.0	True
1	hf-hrv	0.97	426	0.0	True
1	ibi	0.98	426	0.0	True
1	posterior_alpha	0.9	426	0.0	True
1	valence	0.54	426	0.0	True
2	arousal	0.94	169	0.0	True
2	beta	0.88	169	0.0	True
2	frontal_alpha	0.79	169	0.0	True
2	frontal_theta	0.97	169	0.001	True
2	gamma	0.83	169	0.0	True
2	hf-hrv	0.92	169	0.0	True
2	ibi	0.96	169	0.0	True
2	posterior_alpha	0.92	169	0.0	True
2	valence	0.63	169	0.0	True
3	arousal	0.91	576	0.0	True
3	beta	0.84	576	0.0	True
3	frontal_alpha	0.8	576	0.0	True
3	frontal_theta	0.96	576	0.0	True
3	gamma	0.72	576	0.0	True
3	hf-hrv	0.99	576	0.0	True
3	ibi	0.99	576	0.011	True
3	posterior_alpha	0.94	576	0.0	True
3	valence	0.8	576	0.0	True
