Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	323.63	0.0	[278, 358, 117, 637]	True
beta	Levene	2.53	0.056	[278, 358, 117, 637]	False
frontal_alpha	Barlett	60.31	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	7.14	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	5.86	0.118	[278, 358, 117, 637]	False
frontal_theta	Levene	0.65	0.584	[278, 358, 117, 637]	False
gamma	Barlett	566.05	0.0	[278, 358, 117, 637]	True
gamma	Levene	2.45	0.062	[278, 358, 117, 637]	False
posterior_alpha	Barlett	89.22	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	5.13	0.002	[278, 358, 117, 637]	True
