State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.45	278	0.0	True
0	frontal_alpha	0.69	278	0.0	True
0	frontal_theta	0.9	278	0.0	True
0	gamma	0.27	278	0.0	True
0	posterior_alpha	0.49	278	0.0	True
1	beta	0.92	358	0.0	True
1	frontal_alpha	0.57	358	0.0	True
1	frontal_theta	0.96	358	0.0	True
1	gamma	0.67	358	0.0	True
1	posterior_alpha	0.4	358	0.0	True
2	beta	0.86	117	0.0	True
2	frontal_alpha	0.92	117	0.0	True
2	frontal_theta	0.95	117	0.0	True
2	gamma	0.65	117	0.0	True
2	posterior_alpha	0.8	117	0.0	True
3	beta	0.94	637	0.0	True
3	frontal_alpha	0.76	637	0.0	True
3	frontal_theta	0.94	637	0.0	True
3	gamma	0.83	637	0.0	True
3	posterior_alpha	0.54	637	0.0	True
