Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	60.52	0.0	[278, 358, 117, 637]	True
beta	Levene	0.74	0.526	[278, 358, 117, 637]	False
frontal_alpha	Barlett	149.75	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	10.7	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	543.49	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	3.08	0.027	[278, 358, 117, 637]	True
gamma	Barlett	123.37	0.0	[278, 358, 117, 637]	True
gamma	Levene	0.66	0.579	[278, 358, 117, 637]	False
posterior_alpha	Barlett	261.11	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	20.24	0.0	[278, 358, 117, 637]	True
