Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	24.8	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	0.76	0.514	[310, 342, 409, 331]	False
ibi	Barlett	10.63	0.014	[310, 342, 409, 331]	True
ibi	Levene	3.45	0.016	[310, 342, 409, 331]	True
