State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.91	278	0.0	True
0	frontal_alpha	0.79	278	0.0	True
0	frontal_theta	0.72	278	0.0	True
0	gamma	0.51	278	0.0	True
0	posterior_alpha	0.69	278	0.0	True
1	beta	0.9	358	0.0	True
1	frontal_alpha	0.78	358	0.0	True
1	frontal_theta	0.72	358	0.0	True
1	gamma	0.71	358	0.0	True
1	posterior_alpha	0.7	358	0.0	True
2	beta	0.69	117	0.0	True
2	frontal_alpha	0.86	117	0.0	True
2	frontal_theta	0.69	117	0.0	True
2	gamma	0.48	117	0.0	True
2	posterior_alpha	0.82	117	0.0	True
3	beta	0.74	637	0.0	True
3	frontal_alpha	0.75	637	0.0	True
3	frontal_theta	0.8	637	0.0	True
3	gamma	0.71	637	0.0	True
3	posterior_alpha	0.7	637	0.0	True
