State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.53	219	0.0	True
0	beta	0.84	219	0.0	True
0	frontal_alpha	0.84	219	0.0	True
0	frontal_theta	0.97	219	0.0	True
0	gamma	0.67	219	0.0	True
0	hf-hrv	0.76	219	0.0	True
0	ibi	0.86	219	0.0	True
0	posterior_alpha	0.88	219	0.0	True
0	valence	0.67	219	0.0	True
1	arousal	0.69	426	0.0	True
1	beta	0.8	426	0.0	True
1	frontal_alpha	0.61	426	0.0	True
1	frontal_theta	0.92	426	0.0	True
1	gamma	0.62	426	0.0	True
1	hf-hrv	0.89	426	0.0	True
1	ibi	0.95	426	0.0	True
1	posterior_alpha	0.66	426	0.0	True
1	valence	0.92	426	0.0	True
2	arousal	0.67	169	0.0	True
2	beta	0.84	169	0.0	True
2	frontal_alpha	0.73	169	0.0	True
2	frontal_theta	0.93	169	0.0	True
2	gamma	0.49	169	0.0	True
2	hf-hrv	0.94	169	0.0	True
2	ibi	0.97	169	0.002	True
2	posterior_alpha	0.8	169	0.0	True
2	valence	0.87	169	0.0	True
3	arousal	0.63	576	0.0	True
3	beta	0.65	576	0.0	True
3	frontal_alpha	0.88	576	0.0	True
3	frontal_theta	0.97	576	0.0	True
3	gamma	0.53	576	0.0	True
3	hf-hrv	0.84	576	0.0	True
3	ibi	0.97	576	0.0	True
3	posterior_alpha	0.87	576	0.0	True
3	valence	0.71	576	0.0	True
