Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	569.88	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	52.93	0.0	[310, 342, 409, 331]	True
ibi	Barlett	57.06	0.0	[310, 342, 409, 331]	True
ibi	Levene	12.66	0.0	[310, 342, 409, 331]	True
