State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.6	230	0.0	True
0	frontal_alpha	0.7	230	0.0	True
0	frontal_theta	0.34	230	0.0	True
0	gamma	0.43	230	0.0	True
0	hf-hrv	0.94	230	0.0	True
0	ibi	0.99	230	0.368	False
0	posterior_alpha	0.74	230	0.0	True
1	beta	0.88	138	0.0	True
1	frontal_alpha	0.5	138	0.0	True
1	frontal_theta	0.57	138	0.0	True
1	gamma	0.83	138	0.0	True
1	hf-hrv	0.98	138	0.08	False
1	ibi	0.99	138	0.214	False
1	posterior_alpha	0.51	138	0.0	True
2	beta	0.69	575	0.0	True
2	frontal_alpha	0.63	575	0.0	True
2	frontal_theta	0.58	575	0.0	True
2	gamma	0.78	575	0.0	True
2	hf-hrv	0.9	575	0.0	True
2	ibi	1.0	575	0.093	False
2	posterior_alpha	0.68	575	0.0	True
3	beta	0.89	447	0.0	True
3	frontal_alpha	0.73	447	0.0	True
3	frontal_theta	0.56	447	0.0	True
3	gamma	0.83	447	0.0	True
3	hf-hrv	0.93	447	0.0	True
3	ibi	0.98	447	0.0	True
3	posterior_alpha	0.74	447	0.0	True
