Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	123.65	0.0	[230, 138, 575, 447]	True
beta	Levene	2.18	0.088	[230, 138, 575, 447]	False
frontal_alpha	Barlett	261.1	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	15.15	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	963.72	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	11.0	0.0	[230, 138, 575, 447]	True
gamma	Barlett	286.43	0.0	[230, 138, 575, 447]	True
gamma	Levene	3.56	0.014	[230, 138, 575, 447]	True
hf-hrv	Barlett	18.18	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	5.23	0.001	[230, 138, 575, 447]	True
ibi	Barlett	10.03	0.018	[230, 138, 575, 447]	True
ibi	Levene	2.88	0.035	[230, 138, 575, 447]	True
posterior_alpha	Barlett	236.81	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	15.85	0.0	[230, 138, 575, 447]	True
