State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.97	230	0.0	True
0	frontal_alpha	0.76	230	0.0	True
0	frontal_theta	0.37	230	0.0	True
0	gamma	0.97	230	0.0	True
0	hf-hrv	0.99	230	0.462	False
0	ibi	0.98	230	0.003	True
0	posterior_alpha	0.72	230	0.0	True
1	beta	0.94	138	0.0	True
1	frontal_alpha	0.63	138	0.0	True
1	frontal_theta	0.43	138	0.0	True
1	gamma	0.72	138	0.0	True
1	hf-hrv	0.98	138	0.019	True
1	ibi	0.98	138	0.117	False
1	posterior_alpha	0.57	138	0.0	True
2	beta	0.27	575	0.0	True
2	frontal_alpha	0.57	575	0.0	True
2	frontal_theta	0.31	575	0.0	True
2	gamma	0.35	575	0.0	True
2	hf-hrv	0.99	575	0.011	True
2	ibi	0.99	575	0.0	True
2	posterior_alpha	0.31	575	0.0	True
3	beta	0.73	447	0.0	True
3	frontal_alpha	0.81	447	0.0	True
3	frontal_theta	0.79	447	0.0	True
3	gamma	0.42	447	0.0	True
3	hf-hrv	0.96	447	0.0	True
3	ibi	0.98	447	0.0	True
3	posterior_alpha	0.89	447	0.0	True
