Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	2630.89	0.0	[638, 540, 81, 131]	True
beta	Levene	36.84	0.0	[638, 540, 81, 131]	True
frontal_alpha	Barlett	1000.34	0.0	[638, 540, 81, 131]	True
frontal_alpha	Levene	120.77	0.0	[638, 540, 81, 131]	True
frontal_theta	Barlett	2389.21	0.0	[638, 540, 81, 131]	True
frontal_theta	Levene	70.99	0.0	[638, 540, 81, 131]	True
gamma	Barlett	2472.95	0.0	[638, 540, 81, 131]	True
gamma	Levene	81.95	0.0	[638, 540, 81, 131]	True
hf-hrv	Barlett	371.45	0.0	[638, 540, 81, 131]	True
hf-hrv	Levene	103.47	0.0	[638, 540, 81, 131]	True
ibi	Barlett	27.13	0.0	[638, 540, 81, 131]	True
ibi	Levene	11.53	0.0	[638, 540, 81, 131]	True
posterior_alpha	Barlett	2676.64	0.0	[638, 540, 81, 131]	True
posterior_alpha	Levene	49.11	0.0	[638, 540, 81, 131]	True
