State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.54	219	0.0	True
0	beta	0.92	219	0.0	True
0	frontal_alpha	0.84	219	0.0	True
0	frontal_theta	0.98	219	0.005	True
0	gamma	0.74	219	0.0	True
0	hf-hrv	0.49	219	0.0	True
0	ibi	0.86	219	0.0	True
0	posterior_alpha	0.94	219	0.0	True
0	valence	0.71	219	0.0	True
1	arousal	0.9	426	0.0	True
1	beta	0.54	426	0.0	True
1	frontal_alpha	0.85	426	0.0	True
1	frontal_theta	0.94	426	0.0	True
1	gamma	0.22	426	0.0	True
1	hf-hrv	0.44	426	0.0	True
1	ibi	0.76	426	0.0	True
1	posterior_alpha	0.44	426	0.0	True
1	valence	0.59	426	0.0	True
2	arousal	0.76	169	0.0	True
2	beta	0.3	169	0.0	True
2	frontal_alpha	0.59	169	0.0	True
2	frontal_theta	0.74	169	0.0	True
2	gamma	0.17	169	0.0	True
2	hf-hrv	0.66	169	0.0	True
2	ibi	0.81	169	0.0	True
2	posterior_alpha	0.75	169	0.0	True
2	valence	0.7	169	0.0	True
3	arousal	0.6	576	0.0	True
3	beta	0.73	576	0.0	True
3	frontal_alpha	0.95	576	0.0	True
3	frontal_theta	0.94	576	0.0	True
3	gamma	0.3	576	0.0	True
3	hf-hrv	0.63	576	0.0	True
3	ibi	0.81	576	0.0	True
3	posterior_alpha	0.91	576	0.0	True
3	valence	0.76	576	0.0	True
