state	feature	mean	std	min	max
0	arousal	-0.8040739396489415	0.3062561000190823	-1.0692205614066548	0.24278299164844183
0	beta	0.2958343334562808	0.6416263482641905	-0.9939398901486911	2.4865876446399406
0	frontal_alpha	1.0680810187341305	1.44276922399035	-0.9734586934353427	8.346000077972057
0	frontal_theta	0.639218166047908	1.5897257337828583	-1.3201998201886032	9.44693161436541
0	gamma	-0.01448218131121501	0.6121242603393389	-0.8783894792221713	2.1123886972259984
0	hf-hrv	-0.08438626942625953	0.8811858109424835	-1.7329200349100726	2.351937543799353
0	ibi	-0.0004438739871520459	0.9465287295750321	-2.3628912394140174	2.6290783102967716
0	posterior_alpha	1.049686981329276	1.4930909981913207	-0.9360206240168816	9.209963986913015
0	valence	0.21900522434902733	0.7629682854940826	-1.2588782039582593	1.4318036066630113
1	arousal	1.041680879031127	0.6610008098095549	-0.6544591316638427	2.241766097968509
1	beta	-0.12265378857633433	0.5203889309111484	-1.1891539794132002	1.5379727845626567
1	frontal_alpha	-0.3255956825243106	0.44212963352762374	-1.1910680066062953	1.2355879561841652
1	frontal_theta	-0.22715795720200752	0.6309804022902922	-1.469158166513589	2.2315662883423024
1	gamma	-0.06192886773976616	0.4414240180356174	-0.8215775175082027	1.4146992573991455
1	hf-hrv	-0.15218524394085056	0.8763747518336257	-1.771172183306197	2.798149803062004
1	ibi	-0.15652606243668016	0.9795712568905319	-2.823028914547531	2.825365400177931
1	posterior_alpha	-0.3146036390523461	0.4224494223849584	-1.1160867181694798	1.2258739799336842
1	valence	-0.41949719965362103	0.9558783341959443	-1.4071808512205977	1.4810848496657547
2	arousal	0.6275443674882765	0.8892565132608278	-0.9829203633519956	2.1748059467434384
2	beta	1.739790214648172	2.0835328266315014	-0.7965970950733003	12.321753832385863
2	frontal_alpha	0.8284261724501701	1.3454242945243708	-0.952081671961351	7.044940221220601
2	frontal_theta	0.45982682283984216	1.207761352813438	-1.2721238911696777	5.954617539325145
2	gamma	1.719799204101659	2.3725004199970465	-0.7445994116029536	13.684081006908041
2	hf-hrv	0.14861926584134927	1.2816255126605383	-1.6368464937158984	3.990849502834369
2	ibi	-0.03429126683340985	1.0840289776975125	-2.5380182769597908	3.21199727891535
2	posterior_alpha	0.7318674282616069	1.418297659421289	-0.9719404684506253	7.3527990466781485
2	valence	-0.2615324045813685	0.9242112227515735	-1.4354632260540574	1.4111989448914444
3	arousal	-0.708642762871914	0.3771059987163851	-1.0692205614066548	0.5163872459169225
3	beta	-0.4077343823070308	0.3706845403762048	-1.259328521986164	0.7775292684353283
3	frontal_alpha	-0.32485414343592633	0.40732631993109364	-1.1619939052436525	0.9999517962898866
3	frontal_theta	-0.1651036217695711	0.6315811908861949	-1.5090047305275012	2.1481295089682955
3	gamma	-0.33966102713748947	0.2833903923540969	-0.890631805379011	0.6642943551057687
3	hf-hrv	0.10969969728462108	0.9176010075985767	-1.7858235691768618	3.1633487694982323
3	ibi	0.12325353044376851	0.9389031382862709	-2.5505148471669523	3.1739394661537976
3	posterior_alpha	-0.30326623075435843	0.38356002356814856	-1.088936792159584	0.9585998264255656
3	valence	0.30182025755594344	0.8610600261599853	-1.40115738436544	1.4973746472223808
