subject	state	feature	mean	std	min	max
001	0	arousal	-0.7628058614261489	0.45843737474353785	-1.2807256280735737	0.3105521820024909
001	1	arousal	1.1008308829274385	0.6644286696659578	-0.2325620102238998	1.6822912423580056
001	2	arousal	0.4189297546397884	0.869672826897945	-1.2807256280735737	1.6822912423580056
001	3	arousal	-0.6500671233467981	0.44477143706180555	-1.2807256280735737	0.3572929138586567
001	0	beta	0.5070871532243555	0.6768695172852082	-1.0839947376512042	2.9581254912718875
001	1	beta	-0.27401449670353706	0.7035576360064447	-1.835330403168888	1.956068338503753
001	2	beta	1.367998349443422	1.5395866168246486	-0.7600361833126877	8.768524503281997
001	3	beta	-0.39151672225063516	0.5713060419078556	-2.1963980240877485	1.009661874038195
001	0	frontal_alpha	0.686964676596955	1.0448218689619748	-0.9510830439905552	5.517633788269389
001	1	frontal_alpha	-0.3162116868466758	0.4539204670454718	-0.9987789747085608	1.4938906277151598
001	2	frontal_alpha	1.2302576549364164	1.702185578126549	-1.0109774846828172	10.423956137819046
001	3	frontal_alpha	-0.38828581469149986	0.39144607102453804	-1.0640415915938084	0.8235469976793783
001	0	frontal_theta	0.5604134931055529	1.325175630539639	-0.6964509204077801	9.20797486081294
001	1	frontal_theta	-0.2693354157902603	0.460527580249408	-0.9074984284806924	2.4770100184367077
001	2	frontal_theta	0.9287491205501671	1.7512202176769138	-0.7663430455875501	10.64831458686343
001	3	frontal_theta	-0.2863754674243811	0.433634044827349	-0.8411652839946834	2.211893028500918
001	0	gamma	0.1808427035495259	0.83134250722474	-1.3656193941823518	2.620873184627158
001	1	gamma	-0.15038906805346947	0.5781534526029807	-1.2546437316763162	1.495238180901241
001	2	gamma	1.12067580987393	2.0669705291605993	-0.9846240477826168	12.943520611812364
001	3	gamma	-0.28634205026955256	0.4216758330666593	-1.3084479988481408	1.0477784370157774
001	0	hf-hrv	0.08854005356305006	0.8375415356825346	-1.3655355080220697	2.0448934193650974
001	1	hf-hrv	-0.6106218764207119	0.8360557291835149	-1.7207859993182104	2.0330460980509075
001	2	hf-hrv	-0.04261773543053437	1.1335767295723282	-1.7001452402053163	2.417765285375616
001	3	hf-hrv	0.43421794910888456	0.8878941075693397	-1.3952823077072194	2.509211844152672
001	0	ibi	-0.11744811742382631	0.8838061079312358	-2.171882536092017	2.297252279543011
001	1	ibi	-0.25396583068883155	0.9467407601384499	-2.6171549703316734	2.9032239657659544
001	2	ibi	0.23903180960815848	1.1493786704330202	-2.4238679550120996	3.251040106505674
001	3	ibi	0.1639662691231368	0.9884148461091777	-2.457088584103158	3.5988474399685404
001	0	posterior_alpha	0.6709219687154003	1.0081928901034842	-1.0203209965359914	4.8072240383499745
001	1	posterior_alpha	-0.3058193318131009	0.4660191799253021	-1.105635128836898	1.5923338483640357
001	2	posterior_alpha	1.1811489512796485	1.8027199588726277	-0.955684348052832	10.802817169778448
001	3	posterior_alpha	-0.3754636259766527	0.358139928852053	-1.1342150108738047	0.6720032932456088
001	0	valence	0.39856107898736665	0.6983350044861111	-1.3850870516762397	1.235961187715009
001	1	valence	-0.6756191907567829	1.0174143454658182	-2.021375390613883	1.235961187715009
001	2	valence	-0.07758378139187305	0.9632079064965762	-2.021375390613883	1.235961187715009
001	3	valence	0.37625132573684433	0.8074938961250341	-1.795645271932318	1.235961187715009
002	0	arousal	-0.7578076912712918	0.19687991092148013	-0.8693427852312313	0.0198197621016346
002	1	arousal	1.208308093550545	0.550124933144086	-0.3998023548587619	1.630712351665321
002	2	arousal	1.2446325691025169	0.6659015295139467	-0.390755105328258	1.630712351665321
002	3	arousal	-0.6673834903940471	0.30521887809590037	-0.8693427852312313	0.1833300057010576
002	0	beta	0.3708642719235382	0.8310182426679714	-0.8206417940506653	4.255060947657086
002	1	beta	0.3382361176434125	0.571880741952232	-1.0530113219633903	1.9889548781415944
002	2	beta	2.276679235308297	1.7687732555725404	-0.3249887714311725	11.0156685900318
002	3	beta	-0.5147025476314226	0.3098611737975028	-1.212032779756992	0.6366028631416438
002	0	frontal_alpha	1.4330883669259942	2.739973481817797	-0.448989269678802	19.337114465003697
002	1	frontal_alpha	-0.14101200865093694	0.3549683454553533	-0.8029958803861187	1.185501540097026
002	2	frontal_alpha	0.4193581760536696	1.4537220672170477	-0.6492979769421159	10.410076471535389
002	3	frontal_alpha	-0.17259714953412383	0.33749069003176424	-0.8417783898236537	0.8673942078056435
002	0	frontal_theta	0.9389408569302952	1.5679096696158403	-1.131736982914035	7.893820752309432
002	1	frontal_theta	-0.15961384402242682	0.7876486675955169	-1.6449263532390244	2.8353992121357776
002	2	frontal_theta	0.5768149884344339	1.3908954559046316	-1.7405253365793187	4.508493717841741
002	3	frontal_theta	-0.11832056145382376	0.8349599366228575	-2.1492198572965973	2.709760641205066
002	0	gamma	-0.029209538846168673	0.5695865101547	-0.498456938839258	2.0057906620492276
002	1	gamma	0.15628432221146732	0.33818471370286773	-0.4126699517532475	1.2021691640094725
002	2	gamma	1.8336872760195286	2.9254479478711697	-0.369820405379352	17.489908466328774
002	3	gamma	-0.3126342897483392	0.1437338471861273	-0.5312965764772489	0.4557984295059847
002	0	hf-hrv	-0.08399971423231897	0.9493479345218759	-1.880625434715358	2.200543873015682
002	1	hf-hrv	0.1232319738696022	0.9670973006393812	-2.235223991717136	3.6425563875535625
002	2	hf-hrv	-0.22609421707021046	1.230404401542464	-1.7968052729137998	3.62395400824503
002	3	hf-hrv	-0.021307377293789596	0.9849287569728091	-2.291666399406928	2.735538137685453
