State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.57	219	0.0	True
0	beta	0.95	219	0.0	True
0	frontal_alpha	0.78	219	0.0	True
0	frontal_theta	0.81	219	0.0	True
0	gamma	0.89	219	0.0	True
0	hf-hrv	0.98	219	0.014	True
0	ibi	0.98	219	0.02	True
0	posterior_alpha	0.74	219	0.0	True
0	valence	0.88	219	0.0	True
1	arousal	0.69	426	0.0	True
1	beta	0.96	426	0.0	True
1	frontal_alpha	0.63	426	0.0	True
1	frontal_theta	0.74	426	0.0	True
1	gamma	0.9	426	0.0	True
1	hf-hrv	0.98	426	0.0	True
1	ibi	0.99	426	0.031	True
1	posterior_alpha	0.53	426	0.0	True
1	valence	0.68	426	0.0	True
2	arousal	0.66	169	0.0	True
2	beta	0.97	169	0.001	True
2	frontal_alpha	0.61	169	0.0	True
2	frontal_theta	0.73	169	0.0	True
2	gamma	0.92	169	0.0	True
2	hf-hrv	0.8	169	0.0	True
2	ibi	0.99	169	0.271	False
2	posterior_alpha	0.61	169	0.0	True
2	valence	0.87	169	0.0	True
3	arousal	0.57	576	0.0	True
3	beta	0.79	576	0.0	True
3	frontal_alpha	0.64	576	0.0	True
3	frontal_theta	0.73	576	0.0	True
3	gamma	0.56	576	0.0	True
3	hf-hrv	0.97	576	0.0	True
3	ibi	0.99	576	0.024	True
3	posterior_alpha	0.65	576	0.0	True
3	valence	0.87	576	0.0	True
