Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	136.1	0.0	[230, 138, 575, 447]	True
beta	Levene	12.6	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	119.34	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	8.47	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	102.5	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	4.65	0.003	[230, 138, 575, 447]	True
gamma	Barlett	289.16	0.0	[230, 138, 575, 447]	True
gamma	Levene	18.7	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	13.34	0.004	[230, 138, 575, 447]	True
hf-hrv	Levene	7.68	0.0	[230, 138, 575, 447]	True
ibi	Barlett	23.15	0.0	[230, 138, 575, 447]	True
ibi	Levene	5.24	0.001	[230, 138, 575, 447]	True
posterior_alpha	Barlett	262.58	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	8.36	0.0	[230, 138, 575, 447]	True
