Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	631.86	0.0	[278, 358, 117, 637]	True
beta	Levene	3.8	0.01	[278, 358, 117, 637]	True
frontal_alpha	Barlett	104.73	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	3.92	0.008	[278, 358, 117, 637]	True
frontal_theta	Barlett	21.64	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	1.96	0.118	[278, 358, 117, 637]	False
gamma	Barlett	1450.86	0.0	[278, 358, 117, 637]	True
gamma	Levene	3.27	0.02	[278, 358, 117, 637]	True
posterior_alpha	Barlett	35.67	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	0.53	0.659	[278, 358, 117, 637]	False
