State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.93	278	0.0	True
0	frontal_alpha	0.84	278	0.0	True
0	frontal_theta	0.95	278	0.0	True
0	gamma	0.71	278	0.0	True
0	posterior_alpha	0.89	278	0.0	True
1	beta	0.3	358	0.0	True
1	frontal_alpha	0.69	358	0.0	True
1	frontal_theta	0.86	358	0.0	True
1	gamma	0.12	358	0.0	True
1	posterior_alpha	0.62	358	0.0	True
2	beta	0.39	117	0.0	True
2	frontal_alpha	0.76	117	0.0	True
2	frontal_theta	0.89	117	0.0	True
2	gamma	0.2	117	0.0	True
2	posterior_alpha	0.82	117	0.0	True
3	beta	0.72	637	0.0	True
3	frontal_alpha	0.93	637	0.0	True
3	frontal_theta	0.94	637	0.0	True
3	gamma	0.3	637	0.0	True
3	posterior_alpha	0.62	637	0.0	True
