Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	202.14	0.0	[230, 138, 575, 447]	True
beta	Levene	5.85	0.001	[230, 138, 575, 447]	True
frontal_alpha	Barlett	161.39	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	9.16	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	539.23	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	3.07	0.027	[230, 138, 575, 447]	True
gamma	Barlett	251.82	0.0	[230, 138, 575, 447]	True
gamma	Levene	4.58	0.003	[230, 138, 575, 447]	True
hf-hrv	Barlett	153.09	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	23.35	0.0	[230, 138, 575, 447]	True
ibi	Barlett	26.69	0.0	[230, 138, 575, 447]	True
ibi	Levene	8.07	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	267.15	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	19.03	0.0	[230, 138, 575, 447]	True
