State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.92	230	0.0	True
0	frontal_alpha	0.62	230	0.0	True
0	frontal_theta	0.25	230	0.0	True
0	gamma	0.78	230	0.0	True
0	hf-hrv	0.94	230	0.0	True
0	ibi	0.99	230	0.022	True
0	posterior_alpha	0.65	230	0.0	True
1	beta	0.88	138	0.0	True
1	frontal_alpha	0.69	138	0.0	True
1	frontal_theta	0.39	138	0.0	True
1	gamma	0.72	138	0.0	True
1	hf-hrv	0.84	138	0.0	True
1	ibi	0.98	138	0.021	True
1	posterior_alpha	0.65	138	0.0	True
2	beta	0.67	575	0.0	True
2	frontal_alpha	0.68	575	0.0	True
2	frontal_theta	0.3	575	0.0	True
2	gamma	0.52	575	0.0	True
2	hf-hrv	0.92	575	0.0	True
2	ibi	1.0	575	0.311	False
2	posterior_alpha	0.6	575	0.0	True
3	beta	0.96	447	0.0	True
3	frontal_alpha	0.69	447	0.0	True
3	frontal_theta	0.63	447	0.0	True
3	gamma	0.8	447	0.0	True
3	hf-hrv	0.98	447	0.0	True
3	ibi	1.0	447	0.159	False
3	posterior_alpha	0.65	447	0.0	True
