State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.93	230	0.0	True
0	frontal_alpha	0.91	230	0.0	True
0	frontal_theta	0.9	230	0.0	True
0	gamma	0.5	230	0.0	True
0	hf-hrv	0.98	230	0.011	True
0	ibi	0.99	230	0.328	False
0	posterior_alpha	0.87	230	0.0	True
1	beta	0.87	138	0.0	True
1	frontal_alpha	0.9	138	0.0	True
1	frontal_theta	0.92	138	0.0	True
1	gamma	0.71	138	0.0	True
1	hf-hrv	0.94	138	0.0	True
1	ibi	0.99	138	0.612	False
1	posterior_alpha	0.84	138	0.0	True
2	beta	0.89	575	0.0	True
2	frontal_alpha	0.84	575	0.0	True
2	frontal_theta	0.94	575	0.0	True
2	gamma	0.65	575	0.0	True
2	hf-hrv	0.96	575	0.0	True
2	ibi	0.99	575	0.0	True
2	posterior_alpha	0.79	575	0.0	True
3	beta	0.42	447	0.0	True
3	frontal_alpha	0.89	447	0.0	True
3	frontal_theta	0.88	447	0.0	True
3	gamma	0.25	447	0.0	True
3	hf-hrv	0.98	447	0.0	True
3	ibi	1.0	447	0.43	False
3	posterior_alpha	0.88	447	0.0	True
