Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	375.2	0.0	[230, 138, 575, 447]	True
beta	Levene	9.99	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	6.53	0.088	[230, 138, 575, 447]	False
frontal_alpha	Levene	3.63	0.013	[230, 138, 575, 447]	True
frontal_theta	Barlett	47.87	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	5.05	0.002	[230, 138, 575, 447]	True
gamma	Barlett	868.03	0.0	[230, 138, 575, 447]	True
gamma	Levene	14.29	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	151.84	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	52.33	0.0	[230, 138, 575, 447]	True
ibi	Barlett	59.76	0.0	[230, 138, 575, 447]	True
ibi	Levene	16.73	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	23.51	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	5.29	0.001	[230, 138, 575, 447]	True
