Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	137.24	0.0	[278, 358, 117, 637]	True
beta	Levene	14.26	0.0	[278, 358, 117, 637]	True
frontal_alpha	Barlett	51.4	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	3.07	0.027	[278, 358, 117, 637]	True
frontal_theta	Barlett	2.02	0.567	[278, 358, 117, 637]	False
frontal_theta	Levene	0.24	0.869	[278, 358, 117, 637]	False
gamma	Barlett	100.15	0.0	[278, 358, 117, 637]	True
gamma	Levene	14.38	0.0	[278, 358, 117, 637]	True
posterior_alpha	Barlett	282.04	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	3.03	0.028	[278, 358, 117, 637]	True
