State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.87	278	0.0	True
0	frontal_alpha	0.84	278	0.0	True
0	frontal_theta	0.89	278	0.0	True
0	gamma	0.68	278	0.0	True
0	posterior_alpha	0.46	278	0.0	True
1	beta	0.81	358	0.0	True
1	frontal_alpha	0.74	358	0.0	True
1	frontal_theta	0.93	358	0.0	True
1	gamma	0.82	358	0.0	True
1	posterior_alpha	0.89	358	0.0	True
2	beta	0.72	117	0.0	True
2	frontal_alpha	0.79	117	0.0	True
2	frontal_theta	0.89	117	0.0	True
2	gamma	0.75	117	0.0	True
2	posterior_alpha	0.41	117	0.0	True
3	beta	0.78	637	0.0	True
3	frontal_alpha	0.76	637	0.0	True
3	frontal_theta	0.93	637	0.0	True
3	gamma	0.74	637	0.0	True
3	posterior_alpha	0.61	637	0.0	True
