	distance_valence_state_0	distance_arousal_state_0	distance_valence_state_1	distance_arousal_state_1	distance_valence_state_2	distance_arousal_state_2	distance_valence_state_3	distance_arousal_state_3	distance_valence_mean	distance_arousal_mean	distance_mean
cardiac	-0.47980757781687494	0.5015910582980905	0.5988833900151043	-0.6180844591291059	0.2240349325349993	0.5107376581121459	-0.30827897567637563	-0.4621539575721045	0.008707942264213245	-0.01697742507274351	-0.004134741404265133
neural	-0.33708805666978187	0.27560734048058966	0.46110429084442567	-0.34210284798839785	-0.0032125591408599663	0.47323130223431975	-0.29577766913157816	-0.2282798766789071	-0.04374349852444858	0.04461397951190112	0.00043524049372626814
integrated	-0.4009236669042939	0.37841228446109054	0.5233678009738828	-0.3584604838757814	-0.008430998514648166	0.36414475155883574	-0.1684829159164791	-0.32049654404726513	-0.013617445090384584	0.015900002024219942	0.001141278466917679
subjective	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
multimodal	-0.2584376396190473	0.13415625155545183	0.3526022295795839	-0.12597409990110792	-0.08132681411991989	0.6659801966401507	-0.12421741995955246	-0.5201338336528813	-0.027844911029733934	0.03850712866040332	0.0053311088153346915
