Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	7.06	0.07	[463, 370, 264, 296]	False
arousal	Levene	1.64	0.177	[463, 370, 264, 296]	False
valence	Barlett	507.19	0.0	[463, 370, 264, 296]	True
valence	Levene	104.22	0.0	[463, 370, 264, 296]	True
