subject	state	feature	mean	std	min	max
001	0	arousal	-0.4564503868695665	0.8130432537757388	-1.2807256280735737	1.6822912423580056
001	1	arousal	0.9440803734563591	1.0289575349407023	-1.2807256280735737	1.6822912423580056
001	2	arousal	-0.05954020179302166	0.8706230606667889	-1.2807256280735737	1.6822912423580056
001	3	arousal	-0.4739450953206037	0.47713438323675783	-1.2807256280735737	0.6793855590169435
001	0	beta	-0.022539550547247888	1.0140426824469786	-1.994305849884923	6.167439136884244
001	1	beta	-0.10380874290564947	1.0583342024765088	-1.835330403168888	7.365453517518754
001	2	beta	0.11392299056682614	1.09221889106596	-2.1963980240877485	8.768524503281997
001	3	beta	-0.013028005692642612	0.7699869380205717	-1.6347650164318617	3.4134858315561627
001	0	frontal_alpha	-0.02968561408712526	1.2091964907610824	-1.0640415915938084	10.423956137819046
001	1	frontal_alpha	0.12421264151401747	1.0755930558846452	-0.9900504437225026	5.517633788269389
001	2	frontal_alpha	0.0709712317898517	0.9694568945559173	-1.0056970756238637	5.449148276106883
001	3	frontal_alpha	-0.1874833581565158	0.6567443670927386	-0.979794728219617	3.680024334101261
001	0	frontal_theta	-0.027617374295336766	0.8206184491109814	-0.8915033855551351	5.552811073996576
001	1	frontal_theta	0.204286513831171	1.514839308589747	-0.9074984284806924	10.64831458686343
001	2	frontal_theta	-0.015439733677983675	0.773434224996365	-0.8433326147563264	4.836681857731165
001	3	frontal_theta	-0.16489781751283528	0.640571177956978	-0.8318698781930933	3.388700389593808
001	0	gamma	-0.053678972409345695	0.6697051231331025	-1.069224127743598	3.668946192128642
001	1	gamma	-0.13623453616894424	0.8900791518306513	-1.3656193941823518	8.598242392588798
001	2	gamma	-0.046461258259896145	1.1033365337085195	-1.3084479988481408	12.943520611812364
001	3	gamma	0.24762198904119576	1.176513339388025	-1.052074756246726	7.564065424421933
001	0	hf-hrv	0.3073478684077369	0.25972865484167235	-0.183720149198633	0.8028087319858181
001	1	hf-hrv	-1.1638380871972829	0.22582879836378403	-1.7207859993182104	-0.7314730014172371
001	2	hf-hrv	-0.44407308233190496	0.17735353489503877	-0.7790744790391715	-0.0063081209950202
001	3	hf-hrv	1.4629169029863105	0.42217501129791823	0.646077781934923	2.509211844152672
001	0	ibi	0.2175845521706011	0.8320692163773841	-1.841245618046443	3.251040106505674
001	1	ibi	-0.5520528809940997	0.8248711683129871	-2.5021352891068327	2.1330112440616418
001	2	ibi	-0.3109073788773118	0.8932337440537296	-2.6171549703316734	3.489524389324648
001	3	ibi	0.7502666210736357	0.9149899968828105	-1.7413908094694586	3.5988474399685404
001	0	posterior_alpha	-0.007657644235269957	1.1843221301801752	-1.1342150108738047	10.802817169778448
001	1	posterior_alpha	0.09723811314119166	1.0076113780233835	-1.105635128836898	4.8072240383499745
001	2	posterior_alpha	0.092847663262745	1.0468786649799315	-1.0271384856767043	10.30708125948177
001	3	posterior_alpha	-0.20743741096535914	0.6588767784166912	-0.9870944989865896	4.589072135576517
001	0	valence	0.3278360370642573	0.8823371235526629	-1.7834322141655314	1.235961187715009
001	1	valence	-0.9013426142802308	0.8024110472240035	-2.021375390613883	1.235961187715009
001	2	valence	0.028415512419759963	0.9151200509748088	-2.021375390613883	1.235961187715009
001	3	valence	0.5930077897000497	0.7007711635363344	-1.52314458827072	1.235961187715009
002	0	arousal	0.04724868038637906	1.0481523881085517	-0.8693427852312313	1.630712351665321
002	1	arousal	0.05188583608015047	1.0437254091134784	-0.8693427852312313	1.630712351665321
002	2	arousal	0.025510829950739992	0.9759023969796209	-0.8693427852312313	1.630712351665321
002	3	arousal	-0.14990523290216806	0.8908805628190245	-0.8693427852312313	1.630712351665321
002	0	beta	-0.005175780836583741	0.77502330798416	-1.212032779756992	4.255060947657086
002	1	beta	0.08311422462948226	1.0746224192524392	-1.1264582901054754	4.810807753691307
002	2	beta	-0.1178662241983944	0.7570504235207736	-1.1301203124282015	3.339315430384958
002	3	beta	0.058265007795083854	1.388617774649578	-1.1376843437485915	11.0156685900318
002	0	frontal_alpha	0.10203326938051441	1.4992421451794542	-0.8029958803861187	19.337114465003697
002	1	frontal_alpha	-0.004417067651305883	0.48888913113582666	-0.8410473616595732	2.609750113098093
002	2	frontal_alpha	-0.12670298942874414	0.4476265075945757	-0.7859266132814073	3.1096427023123416
002	3	frontal_alpha	0.003850503992369289	0.9466047232610016	-0.8417783898236537	10.410076471535389
002	0	frontal_theta	-0.130620739898231	0.8781479560074206	-1.8983259873765304	4.071148654704337
002	1	frontal_theta	0.16185609818063615	1.2111699826327562	-2.1492198572965973	7.893820752309432
002	2	frontal_theta	-0.034323072969703584	0.8660942666789821	-1.7434812861321831	4.1403904326884815
002	3	frontal_theta	0.059841564109845154	1.0405276854501222	-2.0267398789516027	3.9888322009016104
002	0	gamma	-0.07002551390864391	0.43081620338899773	-0.5065407928102728	1.8252424157644287
002	1	gamma	0.03341992617323934	0.7272130899161674	-0.5312965764772489	4.220355559013487
002	2	gamma	-0.08616485314331104	0.44899256863942555	-0.4984032207629753	2.28231183984063
002	3	gamma	0.172383844017447	1.9159359350664924	-0.514086662654068	17.489908466328774
002	0	hf-hrv	0.29053377649034484	0.2586651083713575	-0.20426284586758	0.9624849850666788
002	1	hf-hrv	-1.2538029305347862	0.3821405057099692	-2.291666399406928	-0.5744678950162008
002	2	hf-hrv	-0.4164383895198305	0.18502076006068768	-0.7839240477760453	-0.0299096974899838
002	3	hf-hrv	1.4449975984925953	0.5989174698187134	0.6066141725741776	3.6425563875535625
