state	mean_fractional_occupancy	std_fractional_occupancy	min_fractional_occupancy	max_fractional_occupancy	mean_lifetime	std_lifetime	min_lifetime	max_lifetime	mean_intervaltime	std_intervaltime	min_intervaltime	max_intervaltime
0	0.3097743407707911	0.10573949790481206	0.16810344827586207	0.7859195402298851	19.515176813095792	35.00954178392409	7.645161290322581	214.2	35.66750479183876	14.577337047354142	20.644444444444446	80.08333333333333
1	0.1851546653144016	0.030188119359282648	0.11350574712643678	0.2665229885057471	22.83940754116585	10.404552994698959	14.08695652173913	62.75	87.61215043126808	47.59777758128642	16.88888888888889	263.0
2	0.23288923719958204	0.04473441465165236	0.11853448275862069	0.3254310344827586	29.276764119041772	20.887735543966798	12.428571428571429	120.5	86.38088803637284	53.486961900085234	37.833333333333336	314.6666666666667
3	0.2790314401622718	0.06431226981821159	0.04597701149425287	0.4410919540229885	12.1561442239554	3.4938832080128366	4.9	20.333333333333332	36.15984613754214	18.1470638526061	20.696969696969695	122.6
