state	feature	mean	std	min	max
0	arousal	0.1098585041889984	1.0060419054002203	-1.0692205614066548	2.299928758439719
0	beta	-0.23531326027127483	0.47913083475217094	-1.264998557911154	1.329396756425744
0	frontal_alpha	-0.32142060464731814	0.43050830832714043	-1.1859457447655766	1.1601458952058905
0	frontal_theta	-0.2127090555414179	0.6259932630388593	-1.5251485332185326	2.07579589651616
0	gamma	-0.17662196031570299	0.4049517611057322	-0.8904901753761933	1.2213903067627667
0	hf-hrv	-0.6440056040375094	0.4404706671780265	-1.8223881336447232	0.3840746142968679
0	ibi	-0.33675154992489137	0.8191606743687743	-2.6772163707718795	1.9479926682919195
0	posterior_alpha	-0.3003703709922539	0.40641555917818495	-1.1065014864955516	1.0840232437578394
0	valence	-0.1403100322379714	0.9718918662538818	-1.4354632260540574	1.466553990080155
1	arousal	-0.12415415732506838	0.8875639202753609	-1.0692205614066548	2.034050407809
1	beta	-0.3745532838032713	0.3922381659513046	-1.2098153170782833	0.9218676253301337
1	frontal_alpha	-0.3274792483772989	0.41853248024127804	-1.1628589658047794	1.1398896207383957
1	frontal_theta	-0.1573477355772407	0.6432215562477108	-1.4648322014485002	2.226760623749932
1	gamma	-0.2998607940114408	0.30250169236622576	-0.8504891679317064	0.7582449363945383
1	hf-hrv	0.7766233744062131	0.6837003212928344	-0.45987037373134554	3.084480044466065
1	ibi	0.4443072275609046	0.929396745426973	-2.1740048427665086	3.234625165268617
1	posterior_alpha	-0.32244871995156466	0.3876050706776529	-1.0917105020519144	1.0370509110775188
1	valence	0.21168914293718094	0.9542830937874802	-1.388144128366885	1.5130377024108255
2	arousal	0.2674564303593664	0.9237809583145432	-1.0486403966558975	1.915774599778706
2	beta	1.5574352338569735	1.8905628026553853	-0.7917661361063598	12.283668119207876
2	frontal_alpha	0.32546361144479335	0.9791548619240737	-0.9966924791908613	5.215804623497563
2	frontal_theta	0.19797999852366344	0.9299127236678751	-1.3215221807495727	4.436718795104486
2	gamma	1.648238575727617	2.10014627244953	-0.6491321752738556	13.684081006908041
2	hf-hrv	0.350830716992437	1.3811202608191993	-1.7726407415930328	4.199020886880583
2	ibi	0.006791919628171639	1.1613409393038703	-2.6931592346307403	3.367793383815148
2	posterior_alpha	0.19174263699409339	0.9130003275858443	-1.0060213442429928	4.5952513662052175
2	valence	-0.1466300800428819	0.9037752261355795	-1.3698541419963373	1.4116893386344778
3	arousal	-0.2822436533973044	0.8487567489983855	-1.0667937149733995	1.985706955912597
3	beta	0.2659968199354989	0.6659607146226294	-0.9613408624752993	2.883231491597967
3	frontal_alpha	1.5439582822545643	1.59770220140086	-0.7020821560039265	9.037454519599969
3	frontal_theta	0.8992854466359653	1.806778641710501	-1.3087401878701417	9.9789114774673
3	gamma	-0.21605349427587242	0.42708938498274246	-0.8456114100335813	1.5620005073278944
3	hf-hrv	-0.18495255914430062	0.8034384726995855	-1.7308804489901792	2.0753542513419845
3	ibi	-0.017567778149956696	0.9322978329414047	-2.2686745162232187	2.3758214554157537
3	posterior_alpha	1.5927816375265706	1.6774415631762503	-0.6269897580477763	10.336579215174465
3	valence	0.06586661596029575	0.8502835193663912	-1.4057183177956627	1.4354562711324625
