Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	412.38	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	25.29	0.0	[310, 342, 409, 331]	True
ibi	Barlett	29.46	0.0	[310, 342, 409, 331]	True
ibi	Levene	8.85	0.0	[310, 342, 409, 331]	True
