State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.8	219	0.0	True
0	beta	0.73	219	0.0	True
0	frontal_alpha	0.77	219	0.0	True
0	frontal_theta	0.75	219	0.0	True
0	gamma	0.6	219	0.0	True
0	hf-hrv	0.98	219	0.002	True
0	ibi	0.99	219	0.313	False
0	posterior_alpha	0.81	219	0.0	True
0	valence	0.82	219	0.0	True
1	arousal	0.8	426	0.0	True
1	beta	0.93	426	0.0	True
1	frontal_alpha	0.13	426	0.0	True
1	frontal_theta	0.07	426	0.0	True
1	gamma	0.9	426	0.0	True
1	hf-hrv	0.94	426	0.0	True
1	ibi	0.98	426	0.0	True
1	posterior_alpha	0.88	426	0.0	True
1	valence	0.6	426	0.0	True
2	arousal	0.78	169	0.0	True
2	beta	0.93	169	0.0	True
2	frontal_alpha	0.64	169	0.0	True
2	frontal_theta	0.89	169	0.0	True
2	gamma	0.84	169	0.0	True
2	hf-hrv	0.95	169	0.0	True
2	ibi	0.97	169	0.004	True
2	posterior_alpha	0.62	169	0.0	True
2	valence	0.88	169	0.0	True
3	arousal	0.8	576	0.0	True
3	beta	0.73	576	0.0	True
3	frontal_alpha	0.75	576	0.0	True
3	frontal_theta	0.72	576	0.0	True
3	gamma	0.62	576	0.0	True
3	hf-hrv	0.99	576	0.0	True
3	ibi	0.99	576	0.054	False
3	posterior_alpha	0.62	576	0.0	True
3	valence	0.79	576	0.0	True
