Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	145.68	0.0	[278, 358, 117, 637]	True
beta	Levene	8.23	0.0	[278, 358, 117, 637]	True
frontal_alpha	Barlett	32.78	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	0.32	0.808	[278, 358, 117, 637]	False
frontal_theta	Barlett	8.34	0.039	[278, 358, 117, 637]	True
frontal_theta	Levene	0.78	0.503	[278, 358, 117, 637]	False
gamma	Barlett	47.71	0.0	[278, 358, 117, 637]	True
gamma	Levene	4.7	0.003	[278, 358, 117, 637]	True
posterior_alpha	Barlett	179.78	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	1.45	0.228	[278, 358, 117, 637]	False
