test	t-value	df	p-value	significance
Wilks' lambda	-5.5207116865343195	38.0	2.5864334454149276e-06	True
Pillai's trace	-20.062496971362236	38.0	8.102274217859729e-22	True
Hotelling-Lawley trace	-19.419683644544687	38.0	2.508751912768611e-21	True
Roy's greatest root	-19.419683644544687	38.0	2.508751912768611e-21	True
