test	t-value	df	p-value	significance
Wilks' lambda	14.491548322038733	2.0	0.004728047708548313	True
Pillai's trace	4.36045053879666	2.0	0.04877803808918137	True
Hotelling-Lawley trace	3.2269278339043153	2.0	0.08409639374899681	False
Roy's greatest root	3.2269278339043153	2.0	0.08409639374899681	False
