Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	17.55	0.001	[463, 370, 264, 296]	True
arousal	Levene	20.64	0.0	[463, 370, 264, 296]	True
valence	Barlett	95.96	0.0	[463, 370, 264, 296]	True
valence	Levene	57.99	0.0	[463, 370, 264, 296]	True
