State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.9	230	0.0	True
0	frontal_alpha	0.7	230	0.0	True
0	frontal_theta	0.8	230	0.0	True
0	gamma	0.78	230	0.0	True
0	hf-hrv	0.96	230	0.0	True
0	ibi	0.98	230	0.009	True
0	posterior_alpha	0.67	230	0.0	True
1	beta	0.73	138	0.0	True
1	frontal_alpha	0.73	138	0.0	True
1	frontal_theta	0.83	138	0.0	True
1	gamma	0.55	138	0.0	True
1	hf-hrv	0.98	138	0.026	True
1	ibi	0.99	138	0.385	False
1	posterior_alpha	0.8	138	0.0	True
2	beta	0.92	575	0.0	True
2	frontal_alpha	0.13	575	0.0	True
2	frontal_theta	0.07	575	0.0	True
2	gamma	0.86	575	0.0	True
2	hf-hrv	0.96	575	0.0	True
2	ibi	0.99	575	0.004	True
2	posterior_alpha	0.87	575	0.0	True
3	beta	0.68	447	0.0	True
3	frontal_alpha	0.71	447	0.0	True
3	frontal_theta	0.71	447	0.0	True
3	gamma	0.54	447	0.0	True
3	hf-hrv	0.98	447	0.0	True
3	ibi	1.0	447	0.206	False
3	posterior_alpha	0.58	447	0.0	True
