Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	28.64	0.0	[230, 138, 575, 447]	True
beta	Levene	21.97	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	1064.35	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	0.62	0.6	[230, 138, 575, 447]	False
frontal_theta	Barlett	2519.3	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	0.85	0.464	[230, 138, 575, 447]	False
gamma	Barlett	3.49	0.322	[230, 138, 575, 447]	False
gamma	Levene	10.23	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	23.25	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	6.79	0.0	[230, 138, 575, 447]	True
ibi	Barlett	2.25	0.523	[230, 138, 575, 447]	False
ibi	Levene	1.5	0.212	[230, 138, 575, 447]	False
posterior_alpha	Barlett	58.64	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	1.34	0.259	[230, 138, 575, 447]	False
