Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	406.1	0.0	[463, 370, 264, 296]	True
arousal	Levene	30.85	0.0	[463, 370, 264, 296]	True
valence	Barlett	135.51	0.0	[463, 370, 264, 296]	True
valence	Levene	103.6	0.0	[463, 370, 264, 296]	True
