State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.19	230	0.0	True
0	frontal_alpha	0.82	230	0.0	True
0	frontal_theta	0.92	230	0.0	True
0	gamma	0.19	230	0.0	True
0	hf-hrv	0.9	230	0.0	True
0	ibi	0.98	230	0.006	True
0	posterior_alpha	0.91	230	0.0	True
1	beta	0.3	138	0.0	True
1	frontal_alpha	0.71	138	0.0	True
1	frontal_theta	0.69	138	0.0	True
1	gamma	0.34	138	0.0	True
1	hf-hrv	0.95	138	0.0	True
1	ibi	0.99	138	0.285	False
1	posterior_alpha	0.96	138	0.001	True
2	beta	0.33	575	0.0	True
2	frontal_alpha	0.85	575	0.0	True
2	frontal_theta	0.93	575	0.0	True
2	gamma	0.29	575	0.0	True
2	hf-hrv	0.91	575	0.0	True
2	ibi	0.99	575	0.0	True
2	posterior_alpha	0.91	575	0.0	True
3	beta	0.19	447	0.0	True
3	frontal_alpha	0.92	447	0.0	True
3	frontal_theta	0.92	447	0.0	True
3	gamma	0.2	447	0.0	True
3	hf-hrv	0.97	447	0.0	True
3	ibi	0.98	447	0.0	True
3	posterior_alpha	0.98	447	0.0	True
