State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.98	558	0.0	True
0	frontal_alpha	1.0	558	0.084	False
0	frontal_theta	0.99	558	0.0	True
0	gamma	0.97	558	0.0	True
0	posterior_alpha	0.99	558	0.011	True
1	beta	0.99	137	0.192	False
1	frontal_alpha	0.93	137	0.0	True
1	frontal_theta	0.95	137	0.0	True
1	gamma	0.94	137	0.0	True
1	posterior_alpha	0.95	137	0.0	True
2	beta	0.95	311	0.0	True
2	frontal_alpha	0.99	311	0.125	False
2	frontal_theta	0.98	311	0.001	True
2	gamma	0.91	311	0.0	True
2	posterior_alpha	0.99	311	0.01	True
3	beta	0.98	384	0.0	True
3	frontal_alpha	0.98	384	0.0	True
3	frontal_theta	0.99	384	0.002	True
3	gamma	0.96	384	0.0	True
3	posterior_alpha	0.99	384	0.003	True
