Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	1983.03	0.0	[278, 358, 117, 637]	True
beta	Levene	8.02	0.0	[278, 358, 117, 637]	True
frontal_alpha	Barlett	80.51	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	19.73	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	494.33	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	34.6	0.0	[278, 358, 117, 637]	True
gamma	Barlett	1464.81	0.0	[278, 358, 117, 637]	True
gamma	Levene	8.88	0.0	[278, 358, 117, 637]	True
posterior_alpha	Barlett	45.57	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	13.59	0.0	[278, 358, 117, 637]	True
