State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.9	278	0.0	True
0	frontal_alpha	0.84	278	0.0	True
0	frontal_theta	0.65	278	0.0	True
0	gamma	0.76	278	0.0	True
0	posterior_alpha	0.92	278	0.0	True
1	beta	0.24	358	0.0	True
1	frontal_alpha	0.85	358	0.0	True
1	frontal_theta	0.77	358	0.0	True
1	gamma	0.27	358	0.0	True
1	posterior_alpha	0.87	358	0.0	True
2	beta	0.57	117	0.0	True
2	frontal_alpha	0.9	117	0.0	True
2	frontal_theta	0.68	117	0.0	True
2	gamma	0.5	117	0.0	True
2	posterior_alpha	0.93	117	0.0	True
3	beta	0.82	637	0.0	True
3	frontal_alpha	0.82	637	0.0	True
3	frontal_theta	0.76	637	0.0	True
3	gamma	0.57	637	0.0	True
3	posterior_alpha	0.84	637	0.0	True
